Surname,#Awards,Education,#DBLP_Record
Atta,10,Khan was a Bright Sparks scholar and received his PhD degree in Computer Science from University of Malaya.[14] He received his master's degree and bachelor's degree (with honors) in Computer Science from COMSATS University under COMSATS scholarship. He has also attended a summer camp on Advance Wireless Networks at Technische Universität Ilmenau under DAAD scholarship.,71
Aalst,0,,"1,119"
Aaronson,7,,230
Abebe,9,,41
Abelson,5,"Abelson graduated with a Bachelor of Arts degree in mathematics from Princeton University in 1969 after completing a senior thesis on Actions with fixed-point set: a homology sphere, supervised by William Browder.[1]
[7]",53
Abiteboul,2,"The son of two hardware store owners, Abiteboul attended high-school in Romorantin, and Higher School Preparatory Classes in Tours.[13] He was admitted to the Télécom Paris engineering school and studied at the Technion in Haifa for a year.[14]",317
Abramsky,6,"Abramsky was educated at Hasmonean Grammar School for Boys, Hendon and at King's College, Cambridge (BA 1975, MA Philosophy 1979, Diploma in Computer Science) and Queen Mary, University of London (PhD Computer Science 1988, supervised by Richard Bornat).[3]",215
Adleman,2,,54
Agrawal,9,,105
Ahn,2,,40
Alfred,0,,113
Allen,5,,37
Amdahl,4,,16
Anderson,0,"Anderson received a BA in mathematics from Wesleyan University, and MS and PhD degrees in mathematics and computer science from the University of Wisconsin–Madison. While in graduate school he published four research papers in computer graphics.[1]  His PhD research involved using enhanced attribute grammars to specify and implement communication protocols.[2]",573
Anthony,6,"Lisa Anthony earned her B.S. and M.S. in computer science with official concentrations in artificial intelligence, human-computer Interaction, and software engineering at Drexel University. Her M.S. thesis involved using genetic programming to evolve board evaluation functions for the strategy board game Acquire.[citation needed] As a summer graduate intern, she worked on the Collaborative Exploratory Search project at the Fuji-Xerox Palo Alto Laboratory (FXPAL).[citation needed]",148
Appel,0,,148
Aragon,0,"Aragon received her B.S. in mathematics from the California Institute of Technology in 1982, M.S. from the University of California, Berkeley in 1987 and, Ph.D. in computer science from the same institution in 2004. For her doctoral studies, Aragon worked under the direction of Marti Hearst.[4]",83
Arden,0,,37
Angie,0,,1
Arora,0,,245
Asprey,0,,0
Atanasoff,0,,46
Atre,0,,0
Babbage,0,,34
Bachman,5,,77
Backhouse,0,,71
Backus,9,,25
Bacon,0,,124
Bader,0,,310
Bahl,17,,129
Barr,0,,18
Bartik,4,,0
Barto,2,,219
Bauer,14,,196
Bayer,0,,89
Bell,0,,162
Bellovin,0,,169
Berdichevsky,0,,1
Berners-Lee,9,,80
Bernstein,0,,259
Bernus,0,,73
Bezos,0,,1
Bhushan,0,,32
Bjørner,0,,100
Blaauw,0,,14
Black,1,,"1,724"
Blei,4,,293
Blum,0,,1
Blum,0,,23
Blum,0,"Blum was born to a Jewish family in Venezuela.[9] Blum was educated at MIT, where he received his bachelor's degree and his master's degree in electrical engineering in 1959 and 1961 respectively, and his Ph.D. in mathematics in 1964 supervised by Marvin Minsky.[1][7]",138
Boehm,3,,396
Böhm,0,,33
Bollacker,0,,24
Bonwick,0,,7
Booch,2,"Booch earned his bachelor's degree in 1977 from the United States Air Force Academy and a master's degree in electrical engineering in 1979 from the University of California, Santa Barbara.[8]",132
Boole,17,,53
Booth,0,,50
Booth,0,,3
Borg,3,,22
Bos,0,,197
Botvinnik,0,,6
Bowen,0,,308
Bourne,0,,15
Bouwman,0,,126
Boyer,0,,78
Brandenburg,1,,27
Brassard,3,,134
Breed,0,,11
Bresenham,0,,1
Brin,0,,21
Brown,0,"Brown received his primary and secondary school education in Delmar, New York, and then studied at the University of Pennsylvania, Moore School of Electrical Engineering where he received a B.S.E. degree in 1979 and an M.S.E. under advisor Ruzena Bajcsy in 1980.[1]",973
Brinch,6,,59
Brinkkemper,0,,296
Brooks,25,"Born on April 19, 1931, in Durham, North Carolina,[7] he attended Duke University, graduating in 1953 with a Bachelor of Science degree in physics, and he received a Ph.D. in applied mathematics (computer science) from Harvard University in 1956, supervised by Howard Aiken.[2]",120
Brooks,0,,89
Burnett,0,,266
Butler,0,,350
Caballero Gil,3,,214
Camp,2,,125
Campbell-Kelly,0,Campell-Kelly was educated at Sunderland Polytechnic where he was awarded a PhD in 1980 on the Foundations of computer programming in Britain 1945–1955.[6],52
Candlin,0,,4
Canion,0,,0
Cantrill,0,,13
Cardelli,3,"He was born in Montecatini Terme, Italy. He attended the University of Pisa[7] before receiving his PhD from the University of Edinburgh in 1982[15] for research supervised by Gordon Plotkin.[4]",250
Carmack,0,,5
Caspersen,0,"Michael was born in Svendborg, Denmark. He went to Nordre Skole for primary and lower secondary school and to Svendborg Statsgymnasium for upper secondary school. He earned an M.Sc. in computer science from Aarhus University.[11]",62
Catmull,2,,12
Cerf,38,,278
Chaitin,0,,48
Cailliau,13,,13
Chaochen,0,,41
Chen,15,,"3,209"
Chiariglione,3,,27
Chou,0,"Chou studied computer science at Stanford University with a specialization in machine learning and artificial intelligence.[4] During that time, she interned at Google and Facebook, and went on to receive a master's degree in computer science. Describing her undergraduate experience studying computer science, Chou said she felt, ""really out of place"" and less confident than her male colleagues at the beginning and took time to realize that she was outperforming most of them in coursework.[6]",0
Church,0,,21
Ciaramella,0,,11
Clarke,0,,324
Cocke,0,,45
Codd,0,,56
Cohen,0,,85
Coldwater,0,,0
Colton,0,,158
Colmerauer,0,,33
Comer,8,,91
Compton,0,,0
Conway,0,,26
Cormack,0,,133
Cook,1,,234
Cooley,0,,34
Cooper,0,,2
Corbató,8,,17
Cosper,0,,0
Cousot,0,,125
Cox,0,,179
Cray,0,,2
Cristianini,5,"Cristianini holds a degree in physics from the University of Trieste, a Master in computational intelligence from the University of London and a PhD from the University of Bristol.[2] Previously he has been a professor of Artificial Intelligence at the University of Bristol, an associate professor at the University of California, Davis, and held visiting positions at other universities.[3]",147
Crowcroft,3,"Crowcroft was educated at Westminster School[11] and graduated with a Bachelor of Arts degree in physics in 1979 from the University of Cambridge where he was an undergraduate student of Trinity College, Cambridge. He then gained a Master of Science degree in computing in 1981 and PhD in 1993,[12] both from University College London.",557
